"Ссылка на 
аккаунт 
Tik-Tok","Название 
аккаунта","Кол-во
подписчиков
Tik-Tok",Средние просмотры,Изменение просмотры,Средние Лайки,Изменеие лайки,ПЭА,Дата обновления,Цена ТТ,Способ связи,,,,,Расчетная цена
https://vm.tiktok.com/X5j3Ne/,raultimodel,265 100,0,0,0,0,"0,00",22.12.2020 6:51:42,,,,,,,
https://vm.tiktok.com/xHNjVB/,amongusglasses,error,error,error,error,error,error,22.12.2020 6:52:51,,,,,,,
https://vm.tiktok.com/Qr2utN/,dodoim1007,99 500,0,0,0,0,"0,00",22.12.2020 7:00:17,,,,,,,
https://vm.tiktok.com/xHUTrJ/,joydt1,error,error,error,error,error,error,22.12.2020 7:01:25,,,,,,,
https://vm.tiktok.com/CWfFRY/,ana.koshkina,176 200,0,0,0,0,"0,00",22.12.2020 7:02:39,,,,,,,
https://vm.tiktok.com/46gL7E/,vctrmlkvvvvv,60 500,0,0,0,0,"0,00",22.12.2020 7:03:53,,,,,,,
https://www.tiktok.com/@annaprima,annaprima,71 100,0,0,0,0,"0,00",22.12.2020 7:07:16,,,,,,,
https://vm.tiktok.com/xHbAFe/,imthebest00_,error,error,error,error,error,error,22.12.2020 7:08:24,,,,,,,
https://vm.tiktok.com/QrQN86/,teremvkusa,2 000 000,0,0,0,0,"0,00",22.12.2020 7:09:38,,,,,,,
https://vm.tiktok.com/x7CNYv/,teremvkusa,2 000 000,0,0,0,0,"0,00",22.12.2020 7:10:51,,,,,,,
https://vm.tiktok.com/QdvgvV/,teremvkusa,2 000 000,0,0,0,0,"0,00",22.12.2020 7:14:17,,,,,,,
https://www.tiktok.com/@nikakariimova?language=ru&sec_uid=MS4wLjABAAAAS-qcRhAXRDP2gepXN7iHbAPCSLCGdD9fXULVM8OJbP3DuXW1q6XF7j-WsZg7LmBw&u_code=d8942c0i55jg29&utm_campaign=client_share&app=musically&utm_medium=ios&user_id=6736535239231931398&tt_from=copy&utm_source=copy&source=h5_m,nikakariimova,235 600,0,0,0,0,"0,00",22.12.2020 7:15:30,,,,,,,
https://vm.tiktok.com/xHe5sM/,imthebest00_,error,error,error,error,error,error,22.12.2020 7:16:38,,,,,,,
https://vm.tiktok.com/xHBtBv/,amongusglasses,error,error,error,error,error,error,22.12.2020 7:17:47,,,,,,,
https://vm.tiktok.com/QLM3EF/,imthebest00_,error,error,error,error,error,error,22.12.2020 7:21:11,,,,,,,
https://vm.tiktok.com/xXRonP/,amongusglasses,error,error,error,error,error,error,22.12.2020 7:22:19,,,,,,,
https://vm.tiktok.com/QDDFcx/,imthebest00_,error,error,error,error,error,error,22.12.2020 7:23:27,,,,,,,
